Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1962,-.17,-.05,-.09,-.10,-.16,.22,-.06,-.07,.06,-.09,.00,-.15,-.06,-.05,-.12,-.12,.03,-.01
1963,-.14,-.13,-.14,-.19,-.06,.10,.04,.30,.23,-.13,-.13,-.07,-.03,-.03,-.14,-.13,.15,-.01
1964,-.12,-.17,-.11,-.33,-.40,.00,.02,-.19,-.31,-.31,-.22,-.33,-.21,-.18,-.12,-.28,-.06,-.28
1965,-.14,.02,-.16,-.13,-.08,.04,-.10,.10,-.08,-.08,-.16,-.07,-.07,-.09,-.15,-.12,.02,-.11
1966,-.12,-.13,.07,-.05,-.18,-.07,.06,-.29,-.13,-.22,-.04,-.02,-.09,-.10,-.11,-.06,-.10,-.13
1967,.02,-.06,-.14,-.14,.02,-.11,.00,-.08,-.08,-.10,-.12,-.13,-.08,-.07,-.02,-.09,-.06,-.10
1968,-.24,-.14,-.06,-.12,-.21,-.11,-.16,-.08,-.29,.18,.12,.05,-.09,-.10,-.17,-.13,-.12,.00
1969,.22,.13,.22,.32,.26,.13,-.13,.03,.13,.17,.11,.19,.15,.14,.13,.27,.01,.14
1970,.20,.17,.19,.13,-.07,-.07,.06,-.15,.26,.24,.02,.06,.09,.10,.18,.09,-.05,.17
1971,.08,-.11,-.08,.06,.01,-.20,-.03,.13,.01,.06,-.13,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.11,.17,.04,.12,.09,.19,.08,.40,.30,.20,.25,.39,.20,.16,.08,.08,.22,.25
1973,.42,.21,.26,.36,.36,.21,.21,.08,.26,.26,.18,-.09,.23,.27,.34,.33,.17,.23
1974,.04,-.19,-.14,-.13,.10,.08,.06,.30,.00,.10,.05,.10,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.05,.04,-.20,.01,-.07,-.05,-.13,.02,.04,.06,.16,-.04,-.04
1976,-.12,-.01,-.13,-.17,-.16,-.05,.06,-.04,-.01,.02,.20,.46,.00,-.04,-.09,-.15,-.01,.07
1977,.52,.34,.22,.28,.42,.31,.32,.33,-.08,.08,.06,.04,.23,.27,.44,.30,.32,.02
1978,-.03,.16,.16,.26,.23,.11,.16,-.12,.12,.06,.11,.14,.11,.10,.05,.22,.05,.10
1979,.22,.15,.20,.47,.06,.20,.03,.29,.30,.28,.33,.41,.24,.22,.17,.24,.17,.30
1980,.38,.38,.52,.46,.44,.22,.30,.27,.30,.15,.38,.34,.35,.35,.39,.47,.26,.28
1981,.24,.21,.28,.26,.30,.30,.53,.52,.16,.02,.12,.28,.27,.27,.26,.28,.45,.10
1982,.23,.14,.00,.13,.26,.11,.25,.15,.22,.27,.46,.47,.22,.21,.22,.13,.17,.32
1983,.50,.51,.40,.49,.61,.35,.16,.45,.47,.21,.12,.23,.37,.39,.49,.50,.32,.27
1984,.28,.26,.34,.19,.42,-.04,.29,.33,.45,.19,.24,.33,.27,.26,.26,.32,.19,.29
1985,.36,.22,.34,.27,.20,.28,.15,.34,.22,.20,.08,.10,.23,.25,.31,.27,.26,.17
1986,.18,.42,.34,.29,.22,.10,.24,.27,.08,.22,.19,.21,.23,.22,.23,.28,.20,.16
1987,.40,.36,.37,.42,.28,.53,.56,.24,.32,.43,.49,.43,.40,.38,.33,.36,.44,.42
1988,.54,.43,.55,.41,.44,.39,.23,.51,.45,.50,.18,.13,.40,.42,.47,.47,.38,.38
1989,.16,.20,.25,.25,.12,.09,.35,.40,.44,.32,.27,.39,.27,.25,.16,.21,.28,.34
1990,.35,.32,.42,.42,.41,.30,.59,.28,.05,.41,.48,.43,.37,.37,.35,.41,.39,.31
1991,.25,.42,.24,.46,.35,.58,.51,.44,.51,.27,.26,.42,.39,.39,.37,.35,.51,.35
1992,.34,.32,.40,.39,.41,.47,.27,.23,.17,.29,.14,.21,.30,.32,.36,.40,.32,.20
1993,.30,.21,.33,.32,.25,.24,.37,.20,.30,.34,.29,.15,.28,.28,.24,.30,.27,.31
1994,.19,.10,.10,.33,.17,.45,.26,.12,.32,.29,.39,.40,.26,.24,.14,.20,.28,.33
1995,.29,.37,.35,.21,.16,.34,.54,.39,.25,.35,.31,.24,.32,.33,.35,.24,.42,.30
1996,.21,.38,.34,.46,.21,.26,.43,.76,.45,.34,.42,.39,.39,.38,.28,.34,.48,.40
1997,.25,.21,.29,.20,.29,.58,.28,.38,.54,.58,.70,.67,.41,.39,.29,.26,.41,.61
1998,.56,.71,.55,.41,.67,.79,.62,.59,.24,.32,.38,.37,.52,.54,.64,.55,.67,.32
1999,.37,.28,.36,.12,.18,.37,.41,.33,.36,.28,.21,.16,.29,.30,.34,.22,.37,.29
2000,.13,.22,.25,.25,.16,.34,.33,.37,.42,.27,.41,.29,.29,.28,.17,.22,.35,.37
2001,.34,.41,.35,.42,.47,.51,.55,.32,.47,.41,.47,.47,.43,.42,.35,.41,.46,.45
2002,.52,.42,.64,.65,.74,.38,.55,.50,.64,.56,.40,.46,.54,.54,.47,.68,.48,.53
2003,.57,.60,.52,.50,.51,.42,.49,.44,.47,.49,.41,.52,.50,.49,.55,.51,.45,.46
2004,.50,.53,.40,.52,.26,.42,.05,.40,.42,.52,.48,.57,.42,.42,.51,.39,.29,.47
2005,.55,.48,.54,.44,.49,.51,.49,.54,.52,.54,.42,.52,.50,.51,.53,.49,.51,.50
2006,.47,.50,.48,.37,.24,.50,.41,.73,.48,.43,.51,.42,.46,.47,.50,.36,.54,.48
2007,.56,.50,.48,.43,.64,.56,.53,.46,.52,.34,.34,.21,.46,.48,.50,.52,.52,.40
2008,.26,.16,.32,.41,.38,.37,.60,.36,.64,.46,.42,.43,.40,.38,.21,.37,.44,.51
2009,.46,.36,.48,.50,.65,.62,.74,.64,.61,.52,.76,.69,.59,.57,.42,.54,.67,.63
2010,.69,.73,.73,.56,.58,.52,.39,.45,.55,.51,.43,.39,.54,.57,.70,.62,.45,.50
2011,.41,.40,.40,.44,.37,.45,.67,.74,.42,.40,.50,.32,.46,.47,.40,.41,.62,.44
2012,.30,.39,.42,.35,.57,.36,.32,.52,.56,.66,.60,.60,.47,.45,.34,.45,.40,.61
2013,.56,.46,.53,.44,.45,.64,.53,.65,.83,.55,.56,.55,.56,.57,.54,.47,.61,.65
2014,.53,.39,.38,.53,.80,.53,.42,.71,.86,.67,.55,.49,.57,.58,.49,.57,.55,.69
2015,.52,.61,.59,.51,.54,.58,.59,.65,.54,.88,.76,.79,.63,.60,.54,.55,.61,.73
2016,.79,.80,.80,.75,.80,.52,.66,.91,.61,.72,.70,.68,.73,.74,.79,.78,.70,.68
2017,.65,.75,.79,.66,.87,.53,.69,.73,.58,.74,.53,.48,.67,.68,.70,.78,.65,.62
2018,.49,.46,.61,.81,.64,.69,.75,.67,.64,.78,.67,.74,.66,.64,.48,.69,.70,.70
2019,.66,.78,.80,.78,.74,.65,.84,.78,.62,.73,.81,.80,.75,.74,.73,.77,.76,.72
2020,.74,.78,***,***,***,***,***,***,***,***,***,***,***,***,.78,***,***,***
